scorer,,,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000
bodyparts,,,nose,nose,nose,neck,neck,neck,leftforepaw,leftforepaw,leftforepaw,rightforepaw,rightforepaw,rightforepaw,lefthindpaw,lefthindpaw,lefthindpaw,righthindpaw,righthindpaw,righthindpaw,baseoftail,baseoftail,baseoftail,tail,tail,tail
coords,,,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
labeled-data,2022-05-19_101_EB014_bellyCam,img05136.png,529.8599853515625,241.37698364257812,0.9999997615814209,478.26123046875,238.10252380371094,0.9999809265136719,449.7618103027344,326.1640319824219,0.9999982118606567,514.005859375,191.42433166503906,0.9999852180480957,474.7450256347656,253.08885192871094,0.00020455273624975234,478.3717041015625,236.17477416992188,0.0005595253314822912,473.4575500488281,238.50941467285156,0.00028704802389256656,475.0709533691406,237.7080841064453,0.0001686739851720631
labeled-data,2022-05-19_101_EB014_bellyCam,img00119.png,469.79595947265625,219.44432067871094,0.000801123445853591,498.6438903808594,268.6123352050781,0.02092612534761429,466.9878845214844,353.72503662109375,0.9994945526123047,479.29595947265625,221.46054077148438,0.999830961227417,198.35470581054688,350.9161682128906,0.12489256262779236,480.7003173828125,220.4064483642578,0.0007992850150913,200.9566192626953,350.49981689453125,0.2694765329360962,467.3214416503906,221.59909057617188,0.00043837286648340523
labeled-data,2022-05-19_101_EB014_bellyCam,img06956.png,530.1981811523438,242.62591552734375,0.9999998807907104,480.4461669921875,232.56549072265625,0.9999853372573853,464.7447509765625,325.7012939453125,0.9999963045120239,506.4705810546875,179.54440307617188,0.9999988079071045,460.7043762207031,328.50927734375,0.000488797842990607,478.2901611328125,236.32205200195312,0.0005253677372820675,532.2714233398438,244.6247100830078,0.00019232486374676228,526.1311645507812,248.07769775390625,0.00022027383965905756
labeled-data,2022-05-19_101_EB014_bellyCam,img44358.png,525.032958984375,245.04660034179688,0.9991080164909363,481.4866943359375,254.33340454101562,0.9999222755432129,433.6963806152344,407.88812255859375,0.1709955334663391,508.08343505859375,233.15940856933594,0.9999949932098389,301.5476989746094,412.92669677734375,0.0006370707415044308,476.5385437011719,268.0909118652344,0.00044037282350473106,472.243408203125,261.9257507324219,0.00016892346320673823,427.1821594238281,370.2782287597656,0.016472384333610535
labeled-data,2022-05-19_101_EB014_bellyCam,img04071.png,531.5975341796875,247.45977783203125,0.9802456498146057,491.79107666015625,255.99806213378906,0.999964714050293,445.87890625,365.1275329589844,0.999994158744812,532.865478515625,226.8054656982422,0.9972689747810364,144.37876892089844,438.31396484375,0.9911963939666748,163.72421264648438,76.94385528564453,0.0009671508450992405,111.5213394165039,260.2860412597656,0.2083803415298462,98.09661102294922,262.49822998046875,0.0029861165676265955
labeled-data,2022-05-19_101_EB014_bellyCam,img58015.png,522.8299560546875,248.3739776611328,0.9988497495651245,473.84765625,245.56752014160156,0.9999945163726807,384.99951171875,382.4108581542969,0.9999877214431763,520.3577880859375,230.5410614013672,0.9999978542327881,382.54522705078125,383.6943664550781,0.0008504684083163738,300.3138122558594,83.63512420654297,0.057030871510505676,103.5101318359375,255.14022827148438,0.19535154104232788,444.3945617675781,299.9442443847656,0.0003212263691239059
labeled-data,2022-05-19_101_EB014_bellyCam,img43820.png,524.8313598632812,245.08717346191406,0.9983915686607361,481.51397705078125,253.21018981933594,0.9999145269393921,435.2402038574219,407.1825866699219,0.05244266614317894,509.0617370605469,233.031494140625,0.999994158744812,194.49142456054688,100.69815826416016,0.001190030132420361,194.21151733398438,98.25236511230469,0.1303548365831375,472.13861083984375,262.0705871582031,0.00021273698075674474,426.833984375,370.3274230957031,0.022119801491498947
labeled-data,2022-05-19_101_EB014_bellyCam,img01802.png,528.8660278320312,251.99468994140625,2.074255644402001e-05,520.3983154296875,219.95831298828125,2.9994289434398524e-05,410.0731201171875,352.46588134765625,0.003938207868486643,538.6831665039062,214.27761840820312,0.004971346352249384,357.0348815917969,354.13299560546875,0.0004968297434970737,169.14102172851562,83.54991149902344,0.0002989888598676771,307.0946044921875,325.0685729980469,0.2522749602794647,423.3039855957031,373.75213623046875,0.0016985208494588733
