scorer,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada
bodyparts,nose,nose,neck,neck,leftforepaw,leftforepaw,rightforepaw,rightforepaw,lefthindpaw,lefthindpaw,righthindpaw,righthindpaw,baseoftail,baseoftail,tail,tail
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\2021-06-16_101_EB005_bellyCam\img00342.png,,,492.67437288191377,252.20435323176417,473.69468205757323,318.9787662156387,545.6777203746075,254.75288355159097,205.81451314674996,377.07130376023656,306.0516052246094,110.8387451171875,193.51030242266063,123.17940605398115,,
labeled-data\2021-06-16_101_EB005_bellyCam\img00511.png,565.852901678019,243.19245091599822,498.636189186656,275.6679007037776,439.64277345489177,339.80628445949463,538.0445446545565,298.13610842017727,241.09518255020237,429.62114826992337,347.21307373046875,139.8726806640625,191.8226301034474,146.86232484358362,,
labeled-data\2021-06-16_101_EB005_bellyCam\img00541.png,571.1681012252866,243.7999027692636,524.2639181728762,252.44169041432252,,,573.4717657818873,297.8297307247906,258.7449104174881,432.51657246134954,358.4682922363281,107.46206665039062,204.20510832651576,151.63234615080307,214.51272517621373,40.938615193477574
labeled-data\2021-06-16_101_EB005_bellyCam\img00622.png,,,533.0652311434712,244.19595157143135,456.9787411129281,323.29783412472005,,,288.3169972297819,412.9230109599461,400.49900476306334,111.74346035049024,229.8248678886033,131.10278220351506,,
labeled-data\2021-06-16_101_EB005_bellyCam\img00682.png,,,522.8980102539062,251.2003631591797,503.8127197352585,318.83716087794915,552.8447265625,220.90798950195312,270.44900874411144,328.55869854056374,,,271.23898175960903,79.5990906196514,,
labeled-data\2021-06-16_101_EB005_bellyCam\img00740.png,567.116087521832,238.04709453374772,488.5332214398949,221.089573765841,484.09137967433844,303.1254354720769,455.4397654698786,140.48026121742492,187.46318256295183,339.1655921106162,256.47734734976643,66.18824039701508,158.93544206269655,150.09296429088658,,
labeled-data\2021-06-16_101_EB005_bellyCam\img04322.png,561.5361496892274,261.6286983796228,523.9180297851562,259.2037658691406,552.190185546875,310.80987548828125,554.1347045898438,226.97747802734375,373.56451416015625,358.0934753417969,351.0279846191406,105.93324279785156,230.0140838623047,234.7408447265625,111.72141507472907,246.76531928490596
labeled-data\2021-06-16_101_EB005_bellyCam\img05280.png,566.6439819335938,240.84579467773438,524.353271484375,235.72247314453125,540.6123657226562,291.7590026855469,561.890625,190.0536651611328,335.6606140136719,349.07720947265625,353.9405822753906,109.47962188720703,221.41978454589844,201.8833465576172,116.71891119515533,223.39056522324023
labeled-data\2021-06-16_101_EB005_bellyCam\img16366.png,569.0913696289062,237.63401794433594,514.8463745117188,223.43020629882812,549.8504028320312,271.9375,506.7519836425781,100.26081085205078,422.946044921875,355.86859130859375,321.46881103515625,123.61422729492188,254.4010772705078,291.76873779296875,154.529995902962,333.03724616478877
labeled-data\2021-06-16_101_EB005_bellyCam\img19502.png,566.2889404296875,235.12051391601562,495.58331298828125,234.23826599121094,,,529.5875244140625,143.8872528076172,272.0684482094307,349.9833194469908,,,,,,
labeled-data\2021-06-16_101_EB005_bellyCam\img47302.png,567.3102416992188,234.58042907714844,498.604248046875,227.69760131835938,549.8420991744465,283.48304874374804,478.65411880311717,143.4379152231814,143.00774088009882,354.89486550519194,,,,,,
labeled-data\2021-06-16_101_EB005_bellyCam\img89745.png,,,,,,,,,,,,,,,,
labeled-data\2021-06-16_101_EB005_bellyCam\img90513.png,,,,,,,,,,,,,,,,
labeled-data\2021-06-16_101_EB005_bellyCam\img91122.png,,,,,,,,,,,,,,,,
labeled-data\2021-06-16_101_EB005_bellyCam\img94097.png,,,,,,,,,,,,,,,,
labeled-data\2021-06-16_101_EB005_bellyCam\img94770.png,,,,,,,,,,,,,,,,
labeled-data\2021-06-16_101_EB005_bellyCam\img94813.png,,,,,,,,,,,,,,,,
labeled-data\2021-06-16_101_EB005_bellyCam\img94887.png,,,,,,,,,,,,,,,,
labeled-data\2021-06-16_101_EB005_bellyCam\img95319.png,,,,,,,,,,,,,,,,
labeled-data\2021-06-16_101_EB005_bellyCam\img95481.png,,,,,,,,,,,,,,,,
