scorer,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada
bodyparts,nose,nose,neck,neck,leftforepaw,leftforepaw,rightforepaw,rightforepaw,lefthindpaw,lefthindpaw,righthindpaw,righthindpaw,baseoftail,baseoftail,tail,tail
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\2021-05-20_103_EB003_bellyCam\img01101.png,570.341064453125,233.44509887695312,481.765869140625,223.2352294921875,511.9219055175781,266.0093688964844,421.0672302246094,125.4236831665039,386.41815185546875,351.5025939941406,,,,,,
labeled-data\2021-05-20_103_EB003_bellyCam\img01629.png,570.564697265625,238.0358123779297,527.9820556640625,238.19485473632812,564.33740234375,311.0235900878906,554.97509765625,161.4561309814453,320.5243225097656,344.3224182128906,237.49412536621094,74.53199768066406,181.12156677246094,272.0849609375,,
labeled-data\2021-05-20_103_EB003_bellyCam\img04508.png,569.7637329101562,237.66615295410156,499.69635009765625,228.78353881835938,547.0391023439265,297.1534265847107,525.9536064499547,134.50327121254463,332.7675375402499,350.8844148526225,282.40772237238923,88.17506246897568,160.78289147746534,271.2685385298563,,
labeled-data\2021-05-20_103_EB003_bellyCam\img04533.png,570.0364379882812,238.036376953125,503.42041015625,228.10226440429688,508.1495666503906,293.797607421875,479.1827392578125,119.41169738769531,261.77032470703125,351.8019714355469,231.30059814453125,74.88984680175781,117.4471435546875,266.9791564941406,,
labeled-data\2021-05-20_103_EB003_bellyCam\img07423.png,570.854248046875,237.42601013183594,512.6200561523438,231.43667602539062,529.6089477539062,324.1076965332031,475.3289489746094,120.52218627929688,297.9325256347656,353.4811096191406,249.25140380859375,84.60608673095703,130.27513122558594,272.23895263671875,,
labeled-data\2021-05-20_103_EB003_bellyCam\img08482.png,570.8296508789062,238.10336303710938,512.17138671875,243.7220916748047,551.0270202593239,291.4747601651814,492.4712818803588,140.75550359077624,294.85260403087693,359.4766077370544,,,,,,
labeled-data\2021-05-20_103_EB003_bellyCam\img08526.png,570.5553588867188,238.4785614013672,480.6479380946922,233.28270120289932,435.95145983625173,329.63866935820704,466.85915130978117,133.92061175638446,272.5785253021944,378.5345433816445,,,,,,
labeled-data\2021-05-20_103_EB003_bellyCam\img08654.png,571.5122680664062,235.6989288330078,524.427734375,233.96823120117188,558.0484787907899,316.41244183248267,449.077410533478,160.73724293326006,334.52278334955054,375.57496517226764,,,,,,
labeled-data\2021-05-20_103_EB003_bellyCam\img08687.png,571.7098388671875,235.33834838867188,524.4210815429688,233.63034057617188,571.349853515625,290.7498474121094,474.0537256569762,158.9343103737732,351.1531677246094,365.26849365234375,,,,,,
labeled-data\2021-05-20_103_EB003_bellyCam\img09589.png,570.356689453125,238.45228540705972,519.377284503857,237.39817702196035,567.6649553979466,319.13355748410015,452.4439794124529,169.54014084043746,392.8986354612364,354.8172363368209,,,185.29114171549213,334.5128046190767,91.19312179308736,368.52985896893847
labeled-data\2021-05-20_103_EB003_bellyCam\img10999.png,569.16552734375,238.03916931152344,533.5050048828125,233.5701904296875,574.474609375,311.00469970703125,525.1053466796875,143.298828125,397.51617431640625,353.9649658203125,248.37371826171875,81.8523178100586,,,,
labeled-data\2021-05-20_103_EB003_bellyCam\img11388.png,569.3312377929688,236.32408142089844,525.781005859375,228.6094970703125,564.0999145507812,323.135498046875,490.3668212890625,140.0425262451172,344.849365234375,356.2966003417969,306.5680236816406,64.26017761230469,166.35647583007812,239.9676971435547,,
labeled-data\2021-05-20_103_EB003_bellyCam\img14199.png,569.5838012695312,235.8504638671875,528.3475341796875,230.577880859375,554.1967353425724,324.2714211825926,471.47631154981957,160.66377114484044,336.98688640821285,371.68391400479936,244.1135711669922,109.6779556274414,164.78985595703125,312.9723205566406,68.19720001655503,352.4734464711546
labeled-data\2021-05-20_103_EB003_bellyCam\img14533.png,569.7730102539062,235.67298889160156,528.0913696289062,234.93637084960938,569.1701049804688,326.5772705078125,508.2198181152344,130.8419189453125,326.238037109375,345.1523132324219,220.6891326904297,91.72052764892578,,,,
labeled-data\2021-05-20_103_EB003_bellyCam\img14781.png,570.2999267578125,237.20806884765625,526.0211791992188,232.78646850585938,567.5907592773438,328.22296142578125,501.2954406738281,126.60331726074219,322.373291015625,345.31878662109375,220.4086752486063,94.49131702993975,,,,
labeled-data\2021-05-20_103_EB003_bellyCam\img15203.png,570.9407348632812,234.93516540527344,523.1541137695312,233.9396209716797,563.5860595703125,331.6813659667969,490.76763916015625,125.782958984375,297.27862548828125,346.4473571777344,200.22344970703125,90.95308685302734,,,,
labeled-data\2021-05-20_103_EB003_bellyCam\img15805.png,569.62890625,238.5625762939453,506.41204833984375,235.24098205566406,553.4702758789062,338.19989013671875,464.8234558105469,117.66989135742188,274.6495038175251,357.13944917438755,178.73325967023106,94.54808807373047,,,,
labeled-data\2021-05-20_103_EB003_bellyCam\img16206.png,570.2998046875,236.1209259033203,517.515625,230.10928344726562,541.3006591796875,304.05181884765625,513.182373046875,115.48893737792969,335.9860534667969,353.876953125,227.54388427734375,86.679931640625,140.01788330078125,262.2244567871094,,
