1000, 0.03340, 0.005
2000, 0.02462, 0.005
3000, 0.02226, 0.005
4000, 0.02001, 0.005
5000, 0.01887, 0.005
6000, 0.01742, 0.005
7000, 0.01619, 0.005
8000, 0.01567, 0.005
9000, 0.01462, 0.005
10000, 0.01431, 0.005
11000, 0.01632, 0.02
12000, 0.01481, 0.02
13000, 0.01353, 0.02
14000, 0.01236, 0.02
15000, 0.01196, 0.02
16000, 0.01152, 0.02
17000, 0.01053, 0.02
18000, 0.01017, 0.02
19000, 0.01012, 0.02
20000, 0.00982, 0.02
21000, 0.00969, 0.02
22000, 0.00933, 0.02
23000, 0.00922, 0.02
24000, 0.00898, 0.02
25000, 0.00875, 0.02
26000, 0.00848, 0.02
27000, 0.00830, 0.02
28000, 0.00810, 0.02
29000, 0.00813, 0.02
30000, 0.00787, 0.02
31000, 0.00787, 0.02
32000, 0.00770, 0.02
33000, 0.00731, 0.02
34000, 0.00739, 0.02
35000, 0.00729, 0.02
36000, 0.00717, 0.02
37000, 0.00708, 0.02
38000, 0.00684, 0.02
39000, 0.00682, 0.02
40000, 0.00691, 0.02
41000, 0.00680, 0.02
42000, 0.00670, 0.02
43000, 0.00663, 0.02
44000, 0.00658, 0.02
45000, 0.00648, 0.02
46000, 0.00638, 0.02
47000, 0.00622, 0.02
48000, 0.00633, 0.02
49000, 0.00625, 0.02
50000, 0.00626, 0.02
51000, 0.00607, 0.02
52000, 0.00607, 0.02
53000, 0.00599, 0.02
54000, 0.00583, 0.02
55000, 0.00594, 0.02
56000, 0.00587, 0.02
57000, 0.00580, 0.02
58000, 0.00572, 0.02
59000, 0.00557, 0.02
60000, 0.00557, 0.02
61000, 0.00549, 0.02
62000, 0.00568, 0.02
63000, 0.00545, 0.02
64000, 0.00542, 0.02
65000, 0.00547, 0.02
66000, 0.00532, 0.02
67000, 0.00531, 0.02
68000, 0.00521, 0.02
69000, 0.00524, 0.02
70000, 0.00522, 0.02
71000, 0.00508, 0.02
72000, 0.00509, 0.02
73000, 0.00512, 0.02
74000, 0.00514, 0.02
75000, 0.00505, 0.02
76000, 0.00513, 0.02
77000, 0.00499, 0.02
78000, 0.00496, 0.02
79000, 0.00492, 0.02
80000, 0.00497, 0.02
81000, 0.00494, 0.02
82000, 0.00488, 0.02
83000, 0.00461, 0.02
84000, 0.00488, 0.02
85000, 0.00474, 0.02
86000, 0.00475, 0.02
87000, 0.00470, 0.02
88000, 0.00474, 0.02
89000, 0.00460, 0.02
90000, 0.00462, 0.02
91000, 0.00448, 0.02
92000, 0.00456, 0.02
93000, 0.00454, 0.02
94000, 0.00456, 0.02
95000, 0.00455, 0.02
96000, 0.00446, 0.02
97000, 0.00446, 0.02
98000, 0.00455, 0.02
99000, 0.00439, 0.02
100000, 0.00451, 0.02
101000, 0.00441, 0.02
102000, 0.00437, 0.02
103000, 0.00446, 0.02
