scorer,,,DLC_resnet50_BellyCam ModelJun24shuffle1_100000,DLC_resnet50_BellyCam ModelJun24shuffle1_100000,DLC_resnet50_BellyCam ModelJun24shuffle1_100000,DLC_resnet50_BellyCam ModelJun24shuffle1_100000,DLC_resnet50_BellyCam ModelJun24shuffle1_100000,DLC_resnet50_BellyCam ModelJun24shuffle1_100000,DLC_resnet50_BellyCam ModelJun24shuffle1_100000,DLC_resnet50_BellyCam ModelJun24shuffle1_100000,DLC_resnet50_BellyCam ModelJun24shuffle1_100000,DLC_resnet50_BellyCam ModelJun24shuffle1_100000,DLC_resnet50_BellyCam ModelJun24shuffle1_100000,DLC_resnet50_BellyCam ModelJun24shuffle1_100000,DLC_resnet50_BellyCam ModelJun24shuffle1_100000,DLC_resnet50_BellyCam ModelJun24shuffle1_100000,DLC_resnet50_BellyCam ModelJun24shuffle1_100000,DLC_resnet50_BellyCam ModelJun24shuffle1_100000,DLC_resnet50_BellyCam ModelJun24shuffle1_100000,DLC_resnet50_BellyCam ModelJun24shuffle1_100000,DLC_resnet50_BellyCam ModelJun24shuffle1_100000,DLC_resnet50_BellyCam ModelJun24shuffle1_100000,DLC_resnet50_BellyCam ModelJun24shuffle1_100000,DLC_resnet50_BellyCam ModelJun24shuffle1_100000,DLC_resnet50_BellyCam ModelJun24shuffle1_100000,DLC_resnet50_BellyCam ModelJun24shuffle1_100000
bodyparts,,,nose,nose,nose,neck,neck,neck,leftforepaw,leftforepaw,leftforepaw,rightforepaw,rightforepaw,rightforepaw,lefthindpaw,lefthindpaw,lefthindpaw,righthindpaw,righthindpaw,righthindpaw,baseoftail,baseoftail,baseoftail,tail,tail,tail
coords,,,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
labeled-data,2022-07-11_101_EB018_bellyCam,img05169.png,580.715087890625,253.6758270263672,0.02486881986260414,268.4013366699219,123.44519805908203,0.6478574872016907,262.2706604003906,274.1226501464844,0.007531407289206982,256.4303283691406,281.96307373046875,0.013609500601887703,254.56854248046875,272.0899658203125,0.039403557777404785,478.9686279296875,484.91162109375,0.251045286655426,428.5077819824219,154.65121459960938,0.8582815527915955,533.8950805664062,445.4158630371094,0.017561975866556168
labeled-data,2022-07-11_101_EB018_bellyCam,img04986.png,91.6941909790039,221.6050262451172,0.018470285460352898,268.3277282714844,123.34358978271484,0.7085669636726379,262.54400634765625,274.1317443847656,0.005551230628043413,527.8445434570312,264.8558654785156,0.027350110933184624,253.9654541015625,272.2691650390625,0.04532093182206154,479.07257080078125,484.6466064453125,0.24877099692821503,427.8514404296875,154.9857177734375,0.7852438688278198,537.2445678710938,444.3605651855469,0.021891292184591293
labeled-data,2022-07-11_101_EB018_bellyCam,img15874.png,545.846923828125,274.4757995605469,0.9842957258224487,497.6597900390625,277.57666015625,0.9974652528762817,485.3006591796875,354.30712890625,0.9993491768836975,548.9671020507812,251.20884704589844,0.9962400197982788,312.8681335449219,402.691650390625,0.10189355909824371,486.5723876953125,352.4657287597656,0.0069480352103710175,313.00506591796875,408.65985107421875,0.23482120037078857,88.7696304321289,363.6564636230469,0.027837280184030533
labeled-data,2022-07-11_101_EB018_bellyCam,img09302.png,89.72747039794922,330.40533447265625,0.015651816502213478,268.3690185546875,93.65507507324219,0.061327069997787476,223.9974365234375,89.48426055908203,0.032947883009910583,199.52047729492188,136.2164764404297,0.01198031846433878,320.5971984863281,373.90875244140625,0.005360737442970276,434.000244140625,198.07171630859375,0.0023371009156107903,428.9413146972656,198.51902770996094,0.806736409664154,516.0198364257812,455.8860778808594,0.36292198300361633
labeled-data,2022-07-11_101_EB018_bellyCam,img05327.png,580.680908203125,253.3346710205078,0.019553372636437416,267.1356506347656,123.08336639404297,0.7751899361610413,262.86907958984375,274.0524597167969,0.006907559931278229,529.7559204101562,263.5765686035156,0.020062822848558426,253.8281707763672,271.8539123535156,0.04122116044163704,479.6954650878906,484.8505554199219,0.18348035216331482,428.6402893066406,154.61485290527344,0.8446878790855408,536.7466430664062,443.6231994628906,0.030679501593112946
labeled-data,2022-07-11_101_EB018_bellyCam,img02321.png,580.2642211914062,253.2893524169922,0.014644698239862919,268.1409912109375,123.18770599365234,0.7092116475105286,263.17547607421875,274.0190124511719,0.006820423062890768,256.30999755859375,282.2633056640625,0.0147334523499012,254.43247985839844,272.1801452636719,0.038316141813993454,479.1811218261719,484.6756591796875,0.22943201661109924,428.7028503417969,155.0063934326172,0.8208774924278259,537.3697509765625,444.5750427246094,0.02410362847149372
labeled-data,2022-07-11_101_EB018_bellyCam,img07904.png,91.9161376953125,221.9865264892578,0.01660521887242794,268.5655517578125,122.81556701660156,0.6964440941810608,263.9725341796875,273.3389892578125,0.007036652881652117,530.168701171875,263.5055236816406,0.011664423160254955,255.03965759277344,271.4001770019531,0.024964941665530205,479.32257080078125,484.9227600097656,0.2540402412414551,428.2091064453125,154.7750244140625,0.8275237083435059,537.265625,444.713623046875,0.019629692658782005
labeled-data,2022-07-11_101_EB018_bellyCam,img11612.png,552.2388305664062,273.96527099609375,0.354837566614151,494.7711181640625,272.05047607421875,0.6996484398841858,512.1535034179688,335.4948425292969,0.8308667540550232,515.8812255859375,219.8571014404297,0.9680689573287964,515.4348754882812,341.15252685546875,0.00460881507024169,444.6013488769531,501.7167053222656,0.021617446094751358,432.8361511230469,150.24192810058594,0.7858059406280518,315.0327453613281,158.4152069091797,0.29460132122039795
