scorer,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada
bodyparts,nose,nose,neck,neck,leftforepaw,leftforepaw,rightforepaw,rightforepaw,lefthindpaw,lefthindpaw,righthindpaw,righthindpaw,baseoftail,baseoftail,tail,tail
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\2021-05-15_104_EB002_bellyCam\img00499.png,591.9699435585511,256.3837744533947,540.0657296290207,266.2034906022248,537.2600964436406,348.96966957093537,559.7051619266807,208.68801030193436,360.5052057646993,370.0119184612855,406.7981533234696,149.76971340895392,228.64044605183835,224.11899282152444,106.5954024878074,225.5218094142145
labeled-data\2021-05-15_104_EB002_bellyCam\img01133.png,587.7614937804809,259.18940763877475,517.6206641459804,259.18940763877475,527.4403802948106,315.30207134637516,565.3164282974408,221.31335963614447,338.0601402816592,370.0119184612855,277.7390267959887,169.40914570661408,176.73623212230802,302.67672201216504,74.33062085593724,315.30207134637516
labeled-data\2021-05-15_104_EB002_bellyCam\img02187.png,589.1643103731709,260.59222423146474,500.78686503370034,264.80067400953476,558.3023453339907,327.9274206805852,447.4798345114799,207.28519370924437,183.75031508575807,375.6231848320456,382.95027124773947,189.0485780042742,179.541865307688,276.02320675105483,,
labeled-data\2021-05-15_104_EB002_bellyCam\img04296.png,593.3727601512411,250.77250808263466,551.2882623705407,252.1753246753247,,,,,486.75869910680024,348.96966957093537,517.6206641459805,176.4232286700642,269.32212723984867,228.32744259959452,161.30524960271782,240.95279193380458
labeled-data\2021-05-15_104_EB002_bellyCam\img06266.png,590.5671269658609,256.3837744533947,533.0516466655706,271.8147569729848,533.0516466655705,361.59501890514554,587.7614937804809,221.31335963614447,370.32492191352935,365.8034686832155,332.4488739108991,193.25702778234427,201.98693079072814,323.71897090251525,96.77568633897738,353.1781193490054
labeled-data\2021-05-15_104_EB002_bellyCam\img06833.png,587.7614937804809,259.18940763877475,509.2037645898404,266.2034906022248,534.4544632582606,348.96966957093537,530.2460134801905,187.6457614115842,335.2545070962791,372.81755164666555,363.3108389500793,146.9640802235739,162.70806619540792,269.0091237876048,58.899638336347095,278.82883993643486
labeled-data\2021-05-15_104_EB002_bellyCam\img07011.png,587.7614937804809,259.18940763877475,500.78686503370034,260.59222423146474,540.0657296290207,315.30207134637516,399.78407036001965,162.39506274316403,183.75031508575807,351.7753027563154,361.9080223573893,134.33873088936383,196.37566441996807,249.36969148994467,91.16441996821732,280.2316565291249
labeled-data\2021-05-15_104_EB002_bellyCam\img08106.png,586.3586771877909,261.9950408241547,544.2741794070906,261.9950408241547,541.4685462217107,361.5950189051455,570.9276946682008,204.47956052386434,399.78407036001965,361.5950189051455,389.9643542111895,153.97816318702394,209.0010137541782,245.16124171187465,92.5672365609073,263.3978574168448
labeled-data\2021-05-15_104_EB002_bellyCam\img10492.png,589.1643103731709,260.59222423146474,534.4544632582606,266.2034906022248,493.7727820702503,343.35840320017536,569.5248780755109,198.86829415310427,335.2545070962791,388.2485341662557,373.13055509890944,146.9640802235739,199.18129760534816,260.59222423146474,91.16441996821732,274.62039015836484
labeled-data\2021-05-15_104_EB002_bellyCam\img11016.png,590.5671269658609,254.98095786070468,528.8431968875005,263.3978574168448,551.2882623705407,347.5668529782454,541.4685462217107,208.68801030193436,381.5474546550495,396.66543372239573,318.420707983999,149.76971340895392,196.37566441996807,284.4401063071949,84.15033700476727,288.64855608526494
labeled-data\2021-05-15_104_EB002_bellyCam\img13735.png,590.5671269658609,256.3837744533947,533.0516466655706,267.6063071949148,514.8150309606004,347.5668529782454,549.8854457778507,210.0908268946244,388.56153761849953,399.47106690777576,331.04605731820914,146.9640802235739,183.75031508575807,264.80067400953476,78.5390706340072,288.64855608526494
labeled-data\2021-05-15_104_EB002_bellyCam\img14084.png,591.9699435585511,256.3837744533947,537.2600964436406,267.6063071949148,520.4262973313605,350.3724861636254,552.6910789632307,212.89646008000437,389.9643542111895,398.0682503150857,336.6573236889691,145.5612636308839,176.73623212230802,266.2034906022248,72.92780426324725,291.454189270645
labeled-data\2021-05-15_104_EB002_bellyCam\img16500.png,,,582.150227409721,254.98095786070468,,,,,497.98123184832036,393.85980053701576,451.68828428955,148.36689681626393,288.96155953750883,259.18940763877475,185.15313167844806,281.6344731218149
labeled-data\2021-05-15_104_EB002_bellyCam\img17696.png,587.7614937804809,254.98095786070468,542.8713628144006,269.0091237876048,531.6488300728805,343.35840320017536,,,395.5756205819497,362.99783549783547,453.09110088223997,138.54718066743385,241.26579538604847,228.32744259959452,134.6517343416076,239.5499753411146
labeled-data\2021-05-15_104_EB002_bellyCam\img18189.png,589.1643103731709,257.7865910460847,540.0657296290207,267.6063071949148,520.4262973313605,347.5668529782454,,,368.92210532083936,364.4006520905255,432.0488519918898,137.14436407474386,227.23762945914837,226.92462600690448,116.41511863663754,242.35560852649462
labeled-data\2021-05-15_104_EB002_bellyCam\img19416.png,587.7614937804809,260.59222423146474,534.4544632582606,261.9950408241547,538.6629130363307,340.5527700147954,540.0657296290207,189.04857800427425,357.69957257931924,357.38656912707546,412.40941969422965,168.0063291139241,225.83481286645838,246.56405830456464,115.01230204394756,246.56405830456464
