scorer,,,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000,DLC_resnet50_BellyCam ModelJun24shuffle1_1030000
bodyparts,,,nose,nose,nose,neck,neck,neck,leftforepaw,leftforepaw,leftforepaw,rightforepaw,rightforepaw,rightforepaw,lefthindpaw,lefthindpaw,lefthindpaw,righthindpaw,righthindpaw,righthindpaw,baseoftail,baseoftail,baseoftail,tail,tail,tail
coords,,,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
labeled-data,2021-08-20_101_EB007_bellyCam,img009838.png,571.1651611328125,242.66873168945312,0.9999992847442627,523.1598510742188,238.88754272460938,0.999453604221344,552.9555053710938,276.08740234375,0.9999926090240479,451.01348876953125,162.34556579589844,0.9978047013282776,165.3811492919922,319.4798278808594,0.9998014569282532,296.7390441894531,104.54789733886719,0.9999611377716064,163.13406372070312,316.36041259765625,0.00048538570990785956,351.9002380371094,338.8839111328125,0.008542492985725403
labeled-data,2021-08-20_101_EB007_bellyCam,img058356.png,575.3908081054688,245.9132537841797,0.9999971389770508,526.1325073242188,239.7361602783203,0.9999885559082031,537.8117065429688,276.0388488769531,0.9999974966049194,512.84326171875,189.9402618408203,0.9999940395355225,275.20001220703125,319.26715087890625,0.9999829530715942,359.4132080078125,115.26886749267578,0.9998273253440857,267.5373229980469,313.7913818359375,0.0010152989998459816,571.792236328125,249.69900512695312,0.00020109042816329747
labeled-data,2021-08-20_101_EB007_bellyCam,img023057.png,574.4788208007812,246.30612182617188,0.9999980926513672,527.98046875,235.16775512695312,0.9999974966049194,549.8220825195312,278.6502685546875,0.9999988079071045,547.385986328125,183.6085662841797,0.9999992847442627,306.403076171875,324.7969970703125,0.9998840093612671,385.6720886230469,115.9732437133789,0.9995701909065247,307.6365051269531,324.35137939453125,0.0002945743326563388,572.1116333007812,252.12075805664062,0.0003840483841486275
labeled-data,2021-08-20_101_EB007_bellyCam,img025565.png,574.2698974609375,244.896484375,0.9999990463256836,527.4440307617188,239.16587829589844,0.9999643564224243,527.3499145507812,284.2103576660156,0.9999887943267822,543.4263305664062,197.51475524902344,0.9999988079071045,277.56866455078125,308.4241943359375,0.9988102912902832,329.2098693847656,99.99331665039062,0.9989443421363831,274.4565734863281,306.1028137207031,0.0005635885754600167,272.79620361328125,306.16729736328125,0.00043866317719221115
labeled-data,2021-08-20_101_EB007_bellyCam,img060518.png,574.6810913085938,248.34327697753906,0.999984622001648,527.42578125,238.40261840820312,0.9999868869781494,547.1678466796875,278.5457458496094,0.9999980926513672,538.8822631835938,181.250732421875,0.999998927116394,375.391845703125,326.19580078125,0.9996719360351562,367.99853515625,113.44042205810547,0.9988390803337097,372.8069152832031,326.9735107421875,0.0018125888891518116,369.9327087402344,322.9446716308594,0.0005811781156808138
labeled-data,2021-08-20_101_EB007_bellyCam,img085466.png,573.8828735351562,247.29901123046875,0.9999879598617554,523.2594604492188,235.17562866210938,0.9999839067459106,517.822998046875,279.2722473144531,0.9998636245727539,542.6368408203125,173.45535278320312,0.9999926090240479,272.4726867675781,315.6503601074219,0.9994682669639587,272.8700256347656,105.77985382080078,0.9996050000190735,263.4656066894531,311.6774597167969,0.0010723629966378212,506.958740234375,236.844970703125,0.0004236292443238199
labeled-data,2021-08-20_101_EB007_bellyCam,img107042.png,569.4248657226562,245.0664825439453,0.9896712899208069,525.1168212890625,246.33155822753906,0.9997493624687195,515.6689453125,281.69097900390625,0.9999436140060425,543.6864624023438,220.24795532226562,0.9999806880950928,317.42779541015625,329.4635009765625,0.9298521280288696,354.6398010253906,108.32869720458984,0.9998544454574585,134.7798614501953,172.11679077148438,0.23750953376293182,499.64404296875,284.6775817871094,0.00039914061198942363
labeled-data,2021-08-20_101_EB007_bellyCam,img074596.png,574.9663696289062,245.95164489746094,0.9999885559082031,527.6239013671875,239.91265869140625,0.987093985080719,518.9359130859375,279.90814208984375,0.9999983310699463,510.1939392089844,192.91896057128906,0.9999278783798218,239.29002380371094,451.07867431640625,0.007647539023309946,243.7903594970703,108.45108795166016,0.8627594709396362,509.2127380371094,199.95559692382812,0.000142149772727862,497.2956237792969,195.59854125976562,0.0003782029962167144
