scorer,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada
bodyparts,nose,nose,neck,neck,leftforepaw,leftforepaw,rightforepaw,rightforepaw,lefthindpaw,lefthindpaw,righthindpaw,righthindpaw,baseoftail,baseoftail,tail,tail
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\2021-03-04_101_CB007_bellyCam\img000236.png,78.76150227531318,255.6787916613754,157.81989147297827,257.62354792081237,290.42607077247385,170.96531969436222,93.9700531535974,278.82883993643486,338.0601402816592,135.74154748205382,526.0375637021206,447.1668310592361,476.9389829579702,322.3161543098252,577.941777631651,357.38656912707546
labeled-data\2021-03-04_101_CB007_bellyCam\img009889.png,79.9418872266973,256.3837744533947,154.29116663926777,257.7865910460847,155.69398323195787,187.6457614115842,103.78976930242743,273.21757356567485,436.2573017699599,138.54718066743385,391.3671708038795,466.80626335689624,497.98123184832036,372.81755164666555,,
labeled-data\2021-03-04_101_CB007_bellyCam\img012791.png,78.5390706340072,257.7865910460847,150.0827168611978,254.98095786070468,,,157.09679982464786,292.85700586333496,420.8263192503698,131.5330977039838,,,526.0375637021206,288.64855608526494,,
labeled-data\2021-03-04_101_CB007_bellyCam\img014874.png,78.5390706340072,256.3837744533947,147.27708367581772,261.9950408241547,110.80385226587748,214.29927667269442,232.84889582990843,306.88517179023506,490.9671488848703,124.51901474053375,,,559.7051619266807,298.468272234095,,
labeled-data\2021-03-04_101_CB007_bellyCam\img023756.png,78.5390706340072,257.7865910460847,131.84610115622763,253.5781412680147,131.84610115622763,186.24294481889422,157.09679982464786,274.62039015836484,411.00660310153967,125.92183133322374,342.26859005972915,442.9583812811661,493.7727820702503,346.1640363855554,,
labeled-data\2021-03-04_101_CB007_bellyCam\img038956.png,78.5390706340072,260.59222423146474,136.0545509342977,247.96687489725463,120.6235684147075,186.24294481889422,131.84610115622763,266.2034906022248,465.7164502164501,132.9359142966738,396.9401554790311,456.6214874240405,517.6206641459804,361.5950189051455,,
labeled-data\2021-03-04_101_CB007_bellyCam\img049070.png,,,137.4573675269877,257.7865910460847,95.37286974628739,173.6175954846841,100.98413611704746,269.0091237876048,370.32492191352935,117.5049317770837,496.57841525563026,427.52739876157597,526.0375637021206,277.4260233437449,,
labeled-data\2021-03-04_101_CB007_bellyCam\img051769.png,82.74752041207728,259.18940763877475,136.0545509342977,260.59222423146474,127.63765137815756,197.46547756041429,107.9982190804975,292.85700586333496,371.72773850621934,135.74154748205382,496.57841525563026,395.26261712970575,513.4122143679105,270.4119403802948,,
labeled-data\2021-03-04_101_CB007_bellyCam\img055237.png,78.5390706340072,260.59222423146474,144.47145049043775,266.2034906022248,131.84610115622763,177.82604526275412,217.41791331031823,285.8429228998849,523.2319305167405,138.54718066743385,413.81223628691976,440.152748095786,520.4262973313605,339.14995342210534,,
labeled-data\2021-03-04_101_CB007_bellyCam\img058912.png,79.9418872266973,259.18940763877475,136.0545509342977,254.98095786070468,115.01230204394756,196.0626609677243,131.84610115622763,280.2316565291249,481.1474327360402,160.992246150474,387.15872102580954,449.97246424461616,496.57841525563026,350.3724861636254,,
labeled-data\2021-03-04_101_CB007_bellyCam\img059629.png,81.34470381938729,256.3837744533947,133.24891774891762,259.18940763877475,98.17850293166737,204.47956052386434,129.04046797084766,299.871088826785,380.1446380623595,135.74154748205382,467.1192668091401,402.2767000931558,503.5924982190803,278.82883993643486,,
labeled-data\2021-03-04_101_CB007_bellyCam\img067836.png,77.13625404131722,252.1753246753247,144.47145049043775,250.77250808263466,116.41511863663754,187.6457614115842,122.02638500739761,259.18940763877475,464.3136336237601,124.51901474053375,448.88265110417,433.138665132336,526.0375637021206,320.91333771713516,,
labeled-data\2021-03-04_101_CB007_bellyCam\img079104.png,77.13625404131722,259.18940763877475,143.06863389774776,254.98095786070468,126.23483478546757,198.86829415310427,134.65173434160772,287.24573949257496,485.35588251411025,144.1584470381939,360.5052057646993,395.26261712970575,495.1755986629403,302.67672201216504,,
labeled-data\2021-03-04_101_CB007_bellyCam\img081578.png,78.5390706340072,259.18940763877475,150.0827168611978,257.7865910460847,112.20666885856747,205.88237711655432,138.86018411967768,281.6344731218149,336.6573236889691,121.71338155515372,437.6601183626499,392.4569839443257,500.78686503370034,284.4401063071949,,
labeled-data\2021-03-04_101_CB007_bellyCam\img083020.png,79.9418872266973,261.9950408241547,134.6517343416076,261.9950408241547,131.84610115622763,204.47956052386434,112.20666885856747,276.02320675105483,446.0770179187899,118.90774836977369,412.40941969422965,421.91613239081596,516.2178475532904,301.27390541947506,,
labeled-data\2021-03-04_101_CB007_bellyCam\img094176.png,77.13625404131722,259.18940763877475,130.44328456353765,254.98095786070468,126.23483478546757,207.28519370924437,131.84610115622763,284.4401063071949,354.89393939393926,148.36689681626393,322.629157762069,410.69359964929583,472.73053317990014,325.12178749520524,575.1361444462709,357.38656912707546
labeled-data\2021-03-04_101_CB007_bellyCam\img098460.png,78.5390706340072,260.59222423146474,136.0545509342977,256.3837744533947,131.84610115622763,194.65984437503425,137.4573675269877,290.051372677955,392.7699873965696,141.35281385281388,364.7136555427693,406.4851498712258,483.95306592142026,313.8992547536851,,
